,SUBJECT,RATER,T1,atlas registration,REST1,REST2,REST3,REST4,MID1,MID2,SST1,SST2,nBack1,nBack2
121,subject_000237,user_0042,2,1,1,1,1,1,2,1,1,2,1,2
122,subject_004061,user_0042,2,1,1,1,1,1,1,1,1,1,1,1
123,subject_004062,user_0042,2,2,2,2,2,0,2,2,2,2,2,2
124,subject_000240,,2,2,2,2,2,2,2,2,2,2,3,2
125,subject_000244,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
126,subject_000245,user_0042,2,1,1,1,1,1,1,1,1,1,1,1
127,subject_000251,user_0042,1,1,1,1,1,0,1,1,1,1,1,1
128,subject_000252,user_0042,2,1,1,1,1,1,1,1,1,2,1,1
129,subject_000257,,1,1,1,1,1,1,1,1,1,1,1,1
130,subject_000259,user_0042,2,1,1,2,2,2,2,3,3,2,1,2
131,subject_000262,,2,1,2,2,2,2,2,2,2,2,2,2
132,subject_004063,user_0042,2,1,1,1,1,1,1,1,1,1,1,1
133,subject_000266,user_0042,1,1,1,1,1,1,1,1,1,1,2,1
134,subject_000273,,1,2,2,2,0,0,2,2,0,0,2,2
135,subject_000278,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
136,subject_004064,user_0042,2,1,1,1,1,1,1,1,1,1,1,1
138,subject_000291,user_0042,2,2,2,3,2,2,2,2,2,2,2,2
140,subject_004065,user_0042,2,1,1,1,2,2,2,2,0,0,2,2
143,subject_000297,user_0042,1,1,2,2,2,2,2,2,2,2,2,2
144,subject_000299,user_0042,1,1,1,1,1,1,1,1,1,1,1,1
145,subject_000300,,2,2,1,1,1,1,2,2,2,2,2,2
146,subject_000301,user_0042,0,1,1,1,1,1,1,1,0,0,1,1
147,subject_004066,,2,2,2,2,2,2,2,2,2,2,2,2
148,subject_000305,,2,1,1,2,2,2,1,1,1,2,1,1
150,subject_000307,,1,1,2,2,2,2,2,2,2,2,2,2
151,subject_000308,,2,1,1,1,1,1,1,1,1,1,1,1
152,subject_000311,,1,2,2,2,2,2,2,2,2,2,2,2
153,subject_000315,,1,1,2,2,2,2,2,2,2,2,2,2
155,subject_000318,,2,2,1,1,1,1,1,1,1,1,1,1
156,subject_004067,user_0042,1,1,1,1,1,0,0,0,0,0,1,1
157,subject_003851,user_0042,2,2,3,0,0,0,0,0,0,0,0,0
158,subject_000331,,2,1,2,2,2,2,2,2,2,2,2,2
159,subject_000332,user_0042,2,1,2,2,0,0,2,2,0,0,0,0
