,SUBJECT,RATER,T1,atlas registration,REST1,REST2,REST3,REST4,MID1,MID2,SST1,SST2,nBack1,nBack2
630,subject_001267,user_0042,1,1,1,1,2,1,1,1,1,1,1,1
631,subject_004123,,1,1,1,1,2,0,0,0,2,2,0,0
632,subject_003887,user_0066,3,3,2,2,2,2,3,3,2,3,0,0
633,subject_003888,user_0042,1,1,1,1,1,0,3,3,2,2,1,3
634,subject_003889,,2,2,2,2,3,3,2,2,3,3,2,2
637,subject_001284,,3,2,2,1,1,1,1,2,2,2,2,2
638,subject_001285,,1,1,1,1,1,1,0,0,2,2,2,2
639,subject_001289,,2,2,2,2,2,2,2,2,2,2,2,2
641,subject_001293,,2,2,2,2,2,2,2,2,2,2,2,2
644,subject_001296,,2,2,2,2,2,2,2,2,2,2,2,2
645,subject_001297,,0,0,0,0,0,0,0,0,0,0,0,0
646,subject_003891,,1,1,2,2,2,2,2,2,2,3,2,3
647,subject_003892,user_0042,3,2,1,1,2,0,2,2,2,2,0,0
648,subject_003893,,3,2,2,2,0,0,0,0,0,0,0,0
649,subject_001304,,2,1,1,1,1,1,1,1,1,1,1,1
651,subject_003895,,2,2,1,2,1,1,2,1,2,3,3,2
652,subject_004124,,1,1,2,2,2,2,0,0,0,0,0,0
653,subject_001305,,2,2,2,2,2,2,1,1,2,2,2,2
654,subject_004125,,2,1,2,2,0,0,0,0,2,2,0,0
655,subject_001307,,3,3,2,2,0,0,2,2,0,0,2,2
658,subject_004126,,2,1,2,2,2,2,2,2,2,2,2,2
659,subject_001314,,1,1,2,2,2,0,2,2,2,2,2,2
660,subject_001316,,2,2,2,2,2,2,0,0,2,2,0,0
661,subject_001318,,2,1,1,1,1,1,1,1,1,2,2,1
662,subject_001322,,1,2,2,2,2,2,2,2,2,2,2,2
663,subject_003896,user_0042,3,2,3,3,3,3,0,0,0,0,0,0
664,subject_001327,,1,2,2,2,2,2,2,2,2,2,2,2
665,subject_003897,,3,3,2,2,2,2,2,2,2,2,2,2
666,subject_001336,,2,2,2,2,0,0,0,0,0,0,0,0
667,subject_001338,,1,1,2,2,2,2,0,0,0,0,0,0
668,subject_004127,,2,2,2,2,2,2,1,1,2,2,2,2
670,subject_001340,,2,2,2,2,2,2,0,0,0,0,0,0
671,subject_004128,,2,2,1,0,0,0,0,0,0,0,0,0
672,subject_001341,,3,3,3,2,2,3,0,0,0,0,0,0
676,subject_003899,,3,2,1,1,1,0,0,0,0,0,1,1
677,subject_001354,,2,1,2,2,2,2,2,2,2,2,2,2
678,subject_004129,,2,2,2,2,0,0,0,0,0,0,0,0
679,subject_001362,,2,1,2,2,2,2,2,2,2,2,2,2
680,subject_001366,,2,1,2,2,2,2,2,2,2,2,2,2
685,subject_001376,,2,2,2,2,2,2,0,0,0,0,0,0
686,subject_001377,,2,1,1,1,1,2,2,2,2,2,2,2
688,subject_001378,,2,2,1,1,1,0,0,0,1,1,0,0
689,subject_004130,,1,1,1,1,2,2,2,2,2,2,2,2
690,subject_001384,,3,3,1,1,1,1,2,2,2,2,2,2
692,subject_001391,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
693,subject_001392,,2,3,1,1,0,0,0,0,0,0,0,0
695,subject_001399,user_0051,1,1,1,1,1,2,2,2,2,2,2,2
697,subject_001408,,2,2,2,2,2,0,2,2,2,2,0,0
699,subject_001412,user_0051,1,1,1,1,1,1,2,2,1,2,2,2
701,subject_001416,,3,3,1,1,1,0,1,1,0,0,1,1
703,subject_001421,user_0051,1,2,2,2,2,2,2,2,2,2,2,2
704,subject_001423,,2,3,2,0,0,0,0,0,2,2,0,0
705,subject_001433,,2,2,1,0,0,0,0,0,0,0,0,0
706,subject_001434,user_0051,1,1,1,1,1,1,1,1,1,2,1,1
707,subject_001435,user_0066,2,1,2,2,2,0,2,2,2,2,2,2
708,subject_003900,user_0066,3,1,2,2,0,0,0,0,0,0,0,0
709,subject_001437,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
711,subject_004131,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
716,subject_001455,user_0066,2,1,2,2,2,2,0,0,0,0,2,2
719,subject_004132,user_0051,2,1,1,1,1,1,1,1,1,1,1,1
720,subject_001459,user_0051,0,1,1,1,1,1,1,1,2,2,2,2
721,subject_001462,user_0051,1,2,1,1,1,1,1,1,1,1,1,2
722,subject_001464,user_0051,1,1,2,2,2,2,2,2,2,2,2,2
723,subject_001465,user_0066,1,1,2,2,2,2,0,0,0,0,0,0
724,subject_004133,user_0051,2,1,1,2,2,2,2,2,2,2,2,2
725,subject_001474,user_0066,1,1,1,1,1,1,0,0,0,0,0,0
728,subject_004134,user_0051,2,2,1,1,1,1,1,1,1,1,1,1
729,subject_004135,user_0051,1,1,1,1,1,1,1,2,1,2,1,1
730,subject_001487,user_0051,1,1,1,1,1,2,1,1,2,2,1,1
732,subject_001492,user_0066,2,1,1,1,1,1,2,2,1,2,1,1
735,subject_001497,user_0066,2,1,1,1,2,0,1,0,1,1,1,2
737,subject_001502,user_0051,1,2,1,1,1,1,1,1,1,1,1,1
738,subject_001503,user_0066,2,1,2,2,0,0,0,0,0,0,0,0
740,subject_001507,user_0051,1,1,1,2,2,2,2,2,2,2,2,2
741,subject_001508,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
742,subject_004136,user_0051,1,1,1,1,1,1,2,2,1,1,1,2
743,subject_001511,user_0066,2,1,2,2,0,0,0,0,0,0,0,0
744,subject_001512,user_0051,1,1,2,2,2,2,2,2,1,1,2,2
745,subject_001516,,1,1,1,1,1,1,1,1,1,2,2,3
746,subject_003901,,1,2,2,2,3,3,3,3,3,3,3,3
747,subject_001518,,2,1,1,1,1,1,1,1,1,1,1,1
748,subject_001520,user_0066,2,1,1,2,1,1,0,0,0,0,0,0
749,subject_001524,user_0066,2,1,2,2,2,2,0,0,2,2,2,2
750,subject_001528,,1,1,1,1,1,1,1,1,1,1,1,1
752,subject_001541,,3,2,2,2,2,2,2,2,2,2,2,2
753,subject_001542,,1,1,2,2,2,2,1,2,2,0,0,0
755,subject_004137,user_0066,2,1,1,1,1,2,0,0,0,0,0,0
756,subject_001546,,1,1,1,1,0,0,1,1,2,2,0,0
757,subject_001548,user_0066,2,1,1,1,0,0,0,0,0,0,0,0
758,subject_004138,,2,1,2,2,2,2,1,1,2,2,2,2
759,subject_001553,,1,1,2,2,2,2,2,2,2,2,2,2
760,subject_001556,,1,2,2,2,2,2,2,2,2,2,2,2
761,subject_001561,,2,2,1,1,1,1,1,1,3,0,0,0
762,subject_001564,user_0066,2,1,1,1,1,1,0,0,0,0,0,0
763,subject_001566,,2,2,2,2,2,2,2,2,2,2,2,2
764,subject_001568,,2,2,3,2,3,2,1,1,1,1,1,1
765,subject_001571,,3,2,2,2,2,2,2,2,2,2,2,2
766,subject_001572,,3,2,1,1,1,1,2,2,2,2,1,1
767,subject_001573,user_0066,2,1,2,2,2,2,2,2,2,2,0,0
769,subject_001577,,2,1,1,1,1,1,1,1,1,1,1,1
770,subject_001578,,1,1,2,2,2,2,2,2,2,2,2,2
771,subject_003902,,3,3,3,3,3,3,3,3,3,3,3,3
772,subject_001580,,1,2,2,2,2,2,2,2,2,2,2,2
773,subject_001586,,2,3,3,3,3,3,3,3,3,3,3,3
774,subject_003903,,1,2,2,2,2,2,2,2,3,3,2,2
775,subject_001587,,2,1,3,3,3,3,3,3,3,3,3,3
776,subject_001590,,1,1,2,3,3,3,3,3,3,3,0,0
777,subject_001591,user_0066,1,1,1,2,2,1,1,2,1,1,0,0
778,subject_001594,,3,2,2,2,2,2,2,2,3,3,2,2
779,subject_001596,,1,3,2,2,1,0,2,2,2,2,2,2
780,subject_001600,user_0066,2,2,2,2,2,2,2,2,0,0,2,2
781,subject_001602,,2,2,1,1,1,1,2,2,1,2,1,2
782,subject_001604,,1,1,2,2,2,2,2,2,2,2,2,2
783,subject_001606,,3,1,2,2,2,2,1,1,1,1,2,2
784,subject_001607,,2,1,1,1,1,1,1,1,2,2,2,2
785,subject_001608,,1,1,1,1,1,1,1,1,1,1,1,1
786,subject_001610,user_0066,2,1,2,2,2,0,2,2,0,0,2,2
787,subject_001613,,3,1,3,3,3,3,3,3,3,3,3,3
788,subject_004139,,1,1,2,2,2,0,0,0,0,0,0,0
789,subject_001616,,1,1,2,2,2,2,2,2,2,2,2,2
790,subject_001619,,3,1,2,2,2,0,0,0,2,2,2,2
791,subject_001620,,1,1,2,2,0,0,0,0,0,0,0,0
792,subject_004140,,0,0,0,0,0,0,0,0,0,0,0,0
793,subject_001623,,2,2,1,1,1,0,1,1,0,0,1,1
795,subject_001628,,1,0,0,0,0,0,0,0,0,0,0,0
797,subject_001634,,1,1,2,2,2,2,2,2,2,2,2,2
798,subject_001636,,1,1,1,1,1,1,1,1,1,1,1,1
799,subject_001639,,1,2,2,2,2,2,2,2,2,2,2,2
800,subject_001640,,0,0,0,0,0,0,0,0,0,0,0,0
801,subject_001643,,1,2,2,2,2,2,2,2,2,0,2,2
802,subject_001646,,0,0,0,0,0,0,0,0,0,0,0,0
803,subject_001650,,1,2,2,2,2,0,2,2,2,2,2,2
806,subject_004141,,1,2,1,1,1,1,1,1,1,1,1,1
807,subject_001652,,1,0,0,0,0,0,0,0,0,0,0,0
809,subject_004142,,1,2,2,2,2,2,2,2,0,0,0,0
811,subject_004143,,1,1,1,1,1,0,1,1,1,1,1,1
813,subject_001660,,1,2,2,2,2,2,2,2,2,2,2,2
814,subject_001662,,1,0,0,0,0,0,0,0,0,0,0,0
816,subject_001663,,1,2,2,2,0,0,0,0,2,2,2,2
817,subject_001666,,2,1,1,1,3,3,0,0,0,0,0,0
818,subject_001668,,2,0,0,0,0,0,0,0,0,0,0,0
819,subject_004144,,1,2,2,2,2,0,0,0,2,2,2,2
820,subject_001677,,2,1,2,2,2,2,2,2,2,2,2,2
821,subject_001681,,1,2,2,2,2,2,0,0,2,2,2,2
822,subject_001683,,2,0,0,0,0,0,0,0,0,0,0,0
826,subject_001690,,1,1,2,2,2,2,2,2,2,2,2,2
828,subject_001694,,1,1,2,2,2,2,2,2,2,2,2,2
829,subject_001696,,1,1,1,1,1,1,1,1,1,1,1,1
831,subject_001704,,3,3,1,1,1,1,1,1,1,1,1,1
833,subject_001706,,1,1,1,1,1,1,1,1,1,1,1,1
835,subject_004145,,1,1,2,2,2,2,2,2,2,2,2,2
841,subject_001738,,2,2,1,1,1,1,1,1,1,1,1,1
843,subject_001743,,1,1,1,1,1,1,0,0,0,0,0,0
844,subject_001745,,1,1,2,2,2,0,0,0,2,2,0,0
845,subject_003904,,2,1,2,2,2,2,2,2,2,2,3,3
846,subject_003905,,1,1,1,1,0,0,1,1,1,1,1,1
849,subject_001758,,2,1,1,1,1,1,1,1,1,1,1,1
850,subject_001759,,2,2,1,1,1,1,2,2,2,2,2,2
851,subject_001761,,2,1,2,2,2,2,2,2,2,1,2,2
852,subject_004146,,1,2,1,1,1,1,1,1,1,1,1,1
853,subject_001766,,2,1,1,1,1,1,1,1,1,1,1,1
854,subject_001770,,1,1,1,2,3,3,3,3,3,3,3,3
855,subject_001771,,2,2,1,1,2,2,1,1,1,1,1,1
856,subject_001773,,2,2,2,2,0,0,0,0,2,2,0,0
857,subject_001774,,2,1,1,1,1,1,2,2,1,1,1,1
861,subject_001788,,2,1,1,1,1,2,2,2,2,2,1,2
863,subject_001795,,1,2,1,1,1,2,1,2,1,1,1,2
864,subject_001796,,2,1,1,1,1,1,1,1,1,1,1,1
865,subject_004147,,2,1,1,1,1,1,1,1,1,2,2,2
869,subject_001813,,2,2,1,1,1,1,1,1,1,1,1,1
870,subject_001815,,2,1,1,1,1,2,2,2,2,2,2,2
871,subject_001816,,2,1,1,1,1,1,1,1,1,1,1,1
872,subject_004148,,3,2,2,2,2,3,2,2,0,0,3,2
874,subject_001827,,3,2,2,2,2,0,2,2,2,0,2,2
875,subject_001829,,2,1,2,2,2,2,2,2,2,2,2,2
878,subject_001839,,1,3,2,2,2,2,1,1,1,1,1,1
880,subject_001848,,1,1,2,2,2,2,2,2,2,2,2,2
881,subject_001850,,1,2,2,2,2,2,2,2,2,3,2,2
882,subject_004149,,1,1,1,1,1,1,0,0,0,0,1,2
884,subject_001857,,1,1,2,2,2,2,2,2,2,2,2,2
885,subject_001858,,1,1,2,2,2,2,2,2,2,2,2,2
886,subject_001864,,2,2,2,2,2,2,2,2,2,2,2,2
887,subject_001865,,2,1,1,1,1,1,1,1,1,1,1,1
888,subject_001866,,1,3,2,2,2,2,2,2,2,2,3,2
890,subject_001872,,2,2,2,2,2,2,2,2,2,2,2,2
891,subject_001873,,1,1,2,2,2,2,2,1,2,2,2,2
893,subject_004150,,2,1,2,2,2,2,2,2,2,2,0,0
895,subject_001880,,1,2,2,2,2,2,2,2,2,2,2,2
897,subject_001890,,3,1,2,2,2,0,2,2,2,2,2,0
898,subject_001896,,1,1,2,2,2,2,2,2,2,2,2,2
900,subject_001899,,1,1,2,2,2,2,2,2,2,2,0,0
901,subject_001904,,1,2,1,1,1,1,1,1,1,1,2,1
902,subject_001905,,1,2,2,2,2,2,1,1,2,2,1,1
903,subject_001906,,1,1,2,2,2,2,2,2,2,2,2,2
904,subject_003908,,3,2,2,2,2,2,2,2,2,3,2,2
907,subject_003909,,3,2,2,2,2,2,2,2,2,2,2,3
909,subject_001914,,1,1,2,2,2,2,2,2,2,2,2,2
912,subject_003910,,3,2,2,2,2,2,2,2,2,2,2,2
915,subject_001927,,1,1,3,3,3,3,3,3,3,3,3,3
918,subject_001932,user_0064,1,1,1,1,1,2,1,1,1,1,1,1
919,subject_004151,,3,3,1,1,1,0,1,1,1,1,1,1
920,subject_001938,,1,1,1,1,0,0,3,0,2,0,2,2
921,subject_003911,,1,1,2,2,2,2,3,3,2,3,3,3
922,subject_001941,user_0051,2,1,2,2,2,2,2,2,2,2,2,2
924,subject_001949,user_0051,2,1,1,1,1,1,1,2,2,2,1,2
926,subject_001952,user_0051,1,1,2,2,2,2,2,1,2,2,2,2
927,subject_001953,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
933,subject_001973,user_0051,2,2,2,2,2,2,2,2,1,1,1,3
935,subject_003912,user_0066,2,1,1,1,2,3,2,2,0,0,3,3
936,subject_001978,user_0064,1,1,2,1,1,2,1,1,2,1,1,1
944,subject_001997,user_0051,1,1,1,1,1,1,1,1,1,1,1,1
961,subject_002024,user_0051,1,1,1,1,1,2,1,1,1,1,1,1
966,subject_002035,user_0051,1,2,3,3,3,3,3,3,3,3,3,3
968,subject_002036,,2,2,1,0,0,0,0,0,0,0,0,0
971,subject_002047,user_0050,1,1,2,2,2,3,2,2,3,2,2,2
972,subject_002048,,2,2,2,0,0,0,0,0,0,0,0,0
973,subject_002053,,2,2,2,2,2,0,2,2,0,0,2,2
975,subject_002057,,3,2,2,2,2,0,2,2,0,0,0,0
976,subject_002060,user_0050,1,1,1,1,1,0,1,1,1,1,1,1
977,subject_002062,user_0050,3,2,1,1,1,1,2,2,1,1,1,1
979,subject_002067,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
980,subject_002069,user_0050,2,1,1,1,1,3,1,1,1,1,2,2
982,subject_004152,user_0050,1,1,1,1,1,1,1,1,0,0,1,0
983,subject_002077,,3,2,2,2,2,0,2,2,0,0,0,0
984,subject_002078,user_0050,3,1,1,1,1,1,1,1,0,0,1,1
985,subject_002079,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
986,subject_004153,user_0050,2,2,2,2,2,2,2,2,2,2,2,2
987,subject_002081,,2,1,1,1,2,1,2,2,0,0,2,2
988,subject_002083,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
990,subject_002094,,0,0,0,0,0,0,0,0,0,0,0,0
991,subject_004154,user_0050,2,1,1,1,1,1,1,1,1,1,1,1
993,subject_003913,user_0050,1,1,2,2,2,2,2,2,2,2,2,3
994,subject_004155,user_0050,1,1,1,1,1,1,1,2,2,1,1,1
995,subject_002104,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
996,subject_002106,user_0050,1,2,1,1,1,1,1,1,1,1,1,1
997,subject_002107,user_0050,1,1,1,3,2,2,2,2,2,2,2,2
998,subject_003914,,3,2,2,3,2,3,1,1,3,2,2,2
999,subject_002109,user_0050,1,2,1,1,0,0,0,0,0,0,0,0
1000,subject_004156,,2,2,1,1,2,2,0,0,0,0,0,0
1001,subject_002116,user_0050,1,1,1,1,1,1,1,1,2,2,2,2
1002,subject_002118,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
1003,subject_004157,user_0050,1,1,2,2,2,2,2,2,0,0,2,2
1005,subject_002122,user_0050,1,1,2,2,2,2,2,2,0,0,2,2
1006,subject_002123,user_0066,1,1,1,1,1,1,1,1,1,1,1,1
1007,subject_002125,user_0050,1,1,2,2,2,2,2,2,2,2,2,2
1008,subject_002130,user_0050,1,1,1,1,1,1,1,1,0,0,1,1
1009,subject_002131,user_0050,1,1,1,1,1,1,1,1,1,1,0,0
1010,subject_002133,user_0050,1,1,2,0,0,0,0,0,0,0,0,0
1011,subject_004158,user_0050,1,1,2,2,0,0,0,0,0,0,0,0
1012,subject_002135,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
1013,subject_002136,user_0050,1,1,1,1,1,1,1,1,1,1,1,1
1014,subject_002140,,2,2,2,2,0,0,0,0,0,0,0,0
1015,subject_002143,user_0050,1,1,2,2,2,2,2,2,2,2,2,2
1017,subject_002146,user_0050,1,1,1,1,1,1,1,2,1,1,1,1
1018,subject_002147,,2,2,2,2,2,2,1,1,1,1,1,1
1019,subject_002148,,2,2,1,1,1,1,1,1,2,2,2,2
1020,subject_004159,,2,2,2,2,0,0,0,0,0,0,0,0
1021,subject_004160,,2,2,2,2,0,0,0,0,0,0,0,0
1022,subject_002152,,2,2,1,1,1,1,1,1,1,1,1,1
1024,subject_002155,,2,2,1,0,0,0,1,1,0,0,1,1
1025,subject_002156,,2,2,2,2,2,2,2,2,2,2,2,2
1027,subject_002159,,2,2,1,1,1,0,0,0,1,1,0,0
1028,subject_002160,,2,2,2,2,2,2,2,2,2,2,2,2
1030,subject_002163,,2,2,1,1,1,1,1,1,1,1,1,1
1032,subject_004161,,2,1,1,1,1,1,1,1,1,1,1,1
1033,subject_004162,,2,1,1,1,2,2,2,2,2,2,2,2
1038,subject_002170,,2,1,1,1,1,1,0,0,1,1,1,1
1039,subject_004163,,2,2,2,2,0,0,0,0,0,0,0,0
1040,subject_002172,,3,3,2,2,0,0,2,2,0,0,0,0
1041,subject_002173,,1,1,1,1,1,1,1,1,1,1,1,1
1042,subject_002176,,2,2,2,2,2,0,2,2,2,2,2,2
1043,subject_002177,user_0066,1,1,1,1,1,1,1,1,1,1,1,1
1045,subject_002178,,2,2,2,2,2,2,0,0,2,2,2,2
1047,subject_004164,,1,1,2,2,2,2,2,2,2,2,2,2
1048,subject_002183,,2,2,1,1,1,1,2,2,1,1,1,1
1051,subject_002187,,2,2,1,1,1,1,0,0,0,0,0,0
1052,subject_004165,,2,1,1,1,1,1,1,1,1,1,1,1
1055,subject_002191,,1,1,2,0,0,0,0,0,2,2,2,2
1056,subject_002192,,2,2,2,2,2,2,2,2,2,2,2,2
1057,subject_002193,,2,2,1,2,2,1,2,3,1,1,1,3
1058,subject_002197,user_0064,1,1,1,1,1,2,2,1,2,1,1,1
1059,subject_002198,,2,2,1,1,2,1,1,3,2,1,1,3
1060,subject_002200,,2,2,2,0,0,0,0,0,2,2,0,0
1065,subject_002213,,2,2,1,1,1,1,1,1,1,1,1,1
1066,subject_002217,,1,1,2,2,2,2,2,2,2,2,2,2
1069,subject_004166,,2,2,1,1,0,0,0,0,0,0,0,0
1070,subject_002220,,2,2,2,2,3,2,3,3,2,1,2,3
1071,subject_002222,,2,2,2,2,2,2,0,0,2,2,0,0
1073,subject_002224,,2,2,2,0,0,0,0,0,2,2,0,0
1074,subject_002228,,2,1,2,2,3,2,2,2,2,2,2,2
1075,subject_002229,user_0052,1,2,1,1,1,1,1,1,1,1,0,0
1076,subject_003916,user_0052,1,2,1,1,1,1,1,1,3,3,0,0
1077,subject_002237,,3,3,1,1,2,1,0,0,2,2,0,0
1078,subject_002238,user_0052,1,2,1,1,1,1,1,1,1,1,1,1
1079,subject_004167,,2,1,1,0,0,0,0,0,2,2,0,0
1080,subject_002242,,3,3,2,1,1,0,1,1,2,2,0,0
1082,subject_004168,,2,2,2,2,0,0,0,0,0,0,2,2
1083,subject_002247,user_0052,2,2,2,2,2,2,2,2,2,2,2,2
1085,subject_002248,user_0052,2,2,2,2,2,2,2,2,2,2,0,0
1086,subject_002249,user_0052,1,1,1,1,1,1,1,1,1,1,0,0
1087,subject_004169,,1,1,1,1,1,1,0,0,0,0,0,0
1089,subject_003917,,3,2,2,0,0,0,0,0,0,0,0,0
1091,subject_002259,user_0052,1,2,1,1,1,1,1,1,1,2,1,1
1092,subject_004170,user_0052,1,1,2,2,2,0,2,2,0,0,0,0
1093,subject_002260,user_0052,2,2,2,2,2,2,2,2,2,2,2,2
1094,subject_002261,user_0052,2,3,2,2,2,0,2,2,0,0,2,2
1095,subject_002262,user_0052,1,1,1,1,1,1,1,1,1,1,1,1
1096,subject_002265,user_0052,2,1,1,1,1,1,1,1,1,1,1,1
1097,subject_002268,user_0052,1,1,2,2,0,0,0,0,0,0,0,0
1098,subject_002273,user_0052,2,2,1,1,1,1,1,1,2,1,1,1
1099,subject_003918,user_0052,2,3,2,2,0,0,0,0,0,0,0,0
1100,subject_004171,user_0052,2,3,2,2,2,2,2,2,2,2,2,2
1101,subject_002275,user_0052,1,1,1,1,1,0,1,1,0,0,0,0
1102,subject_002279,user_0052,1,2,2,2,2,2,2,2,2,2,2,2
1103,subject_002280,user_0052,1,1,2,2,2,2,2,2,2,2,2,2
1106,subject_003919,user_0052,1,1,2,1,1,3,0,0,0,0,0,0
1107,subject_002285,user_0052,2,1,1,1,1,0,1,1,1,1,1,1
1108,subject_002286,user_0052,1,1,1,1,1,1,1,1,1,1,1,1
1109,subject_002287,user_0052,1,2,1,1,1,1,1,1,1,1,1,1
1111,subject_004172,user_0052,1,1,1,1,0,0,0,0,0,0,0,0
1112,subject_004173,user_0052,1,2,1,1,0,0,0,0,0,0,0,0
1114,subject_002300,user_0052,1,1,1,1,1,1,1,1,1,1,1,1
1115,subject_003920,user_0052,3,1,2,0,0,0,0,0,0,0,0,0
1116,subject_002302,user_0052,3,1,3,3,0,0,0,0,0,0,0,0
1121,subject_002312,user_0052,1,1,1,1,1,1,1,1,1,1,1,1
1122,subject_002313,user_0052,3,3,2,2,2,2,0,0,0,0,0,0
1124,subject_002314,,1,2,2,2,2,2,2,2,2,2,2,2
1126,subject_004174,,2,1,2,2,2,2,2,2,2,2,2,2
1127,subject_002318,,3,1,1,1,1,0,1,1,1,1,1,1
1128,subject_002320,,1,1,1,1,1,1,2,2,2,2,2,2
1131,subject_003921,,1,1,2,1,1,3,1,1,1,1,3,1
1132,subject_002330,,1,1,2,2,0,0,2,2,0,0,0,0
1133,subject_002333,,1,2,2,2,2,2,2,2,2,2,2,3
1135,subject_002344,,2,2,2,2,2,0,0,0,0,0,0,0
1137,subject_002350,,2,1,1,2,2,2,2,2,2,2,2,2
1139,subject_002355,,1,1,1,1,1,1,1,1,1,1,1,1
1140,subject_004175,,2,2,2,2,2,2,2,2,2,2,2,2
1141,subject_002358,,1,2,1,1,1,1,1,1,1,1,1,1
1143,subject_002364,,3,3,2,2,0,0,0,0,0,0,0,0
1144,subject_002365,,1,1,2,2,3,3,2,2,3,2,3,2
1145,subject_004176,,2,1,1,1,1,1,1,2,1,1,1,1
1146,subject_004177,,1,1,2,2,2,0,2,2,2,2,2,2
1147,subject_004178,,1,2,1,1,1,1,1,2,1,2,2,2
1148,subject_004179,,2,2,2,2,2,0,2,2,2,2,2,2
1150,subject_002371,,2,1,2,2,2,2,2,2,2,2,2,2
1151,subject_002374,,1,1,2,2,2,2,2,2,2,2,2,2
1153,subject_004180,,1,2,1,1,1,1,1,1,1,1,1,1
1154,subject_003922,,3,3,2,2,2,2,2,2,2,2,2,2
1157,subject_002385,,3,2,2,2,0,0,0,0,0,0,0,0
1158,subject_004181,,2,1,2,2,2,2,2,2,2,2,2,2
1160,subject_002386,,3,2,2,2,2,2,2,2,2,2,2,2
1161,subject_002387,,1,1,2,2,2,2,2,2,2,2,2,2
1162,subject_002392,,1,1,2,2,2,2,2,2,2,2,2,2
1164,subject_004182,,2,1,2,2,2,2,1,1,1,2,1,2
1165,subject_002397,,3,3,3,3,3,3,3,3,3,3,3,3
1167,subject_002399,,1,1,2,2,2,2,2,2,2,2,2,2
1168,subject_002400,,3,1,2,2,2,2,2,2,2,2,2,2
1169,subject_002404,,1,1,1,1,1,1,2,2,2,2,2,2
1172,subject_002411,,2,2,1,1,0,0,0,0,0,0,0,0
1188,subject_002435,,2,1,2,2,0,0,0,0,0,0,0,0
1215,subject_004183,,2,1,1,2,2,2,2,2,2,2,2,2
1216,subject_003923,,3,2,2,2,2,2,3,3,3,3,3,3
1217,subject_004184,,2,2,2,2,2,2,2,2,2,2,2,2
1219,subject_004185,,1,1,2,2,2,2,2,2,2,2,2,2
1220,subject_002474,,1,1,2,2,2,2,2,2,2,2,2,2
1222,subject_004186,,1,1,1,1,1,1,1,1,1,1,1,1
1223,subject_003924,,1,2,2,2,2,2,2,2,2,3,2,2
1224,subject_002476,,2,2,2,2,2,2,2,2,2,2,2,2
1225,subject_003925,,3,2,1,1,1,1,1,1,1,1,1,1
1226,subject_002477,,3,2,1,1,1,1,1,1,2,1,1,1
1227,subject_004187,,1,1,1,1,1,1,1,1,1,1,1,1
1229,subject_002480,,1,1,1,1,1,1,1,1,1,1,1,1
1231,subject_002482,,1,2,2,2,2,2,2,2,2,2,2,2
1232,subject_002483,,1,1,1,1,1,1,1,1,1,1,1,1
1233,subject_002485,,2,2,3,3,2,2,3,3,3,3,3,3
1234,subject_002486,,1,2,2,2,2,2,2,2,2,2,2,2
1235,subject_002488,,2,2,2,2,2,2,2,2,2,2,2,2
1237,subject_002491,,1,1,2,2,2,2,2,2,2,2,2,2
1238,subject_004188,,1,1,2,2,2,2,2,2,2,2,2,2
1243,subject_004189,,2,1,2,2,2,2,2,2,2,2,2,2
1244,subject_002502,,1,1,2,2,3,3,3,3,3,3,3,3
1246,subject_002503,,1,1,1,1,1,1,1,1,1,1,1,1
1247,subject_002504,,1,1,2,2,2,2,2,2,2,2,2,2
1248,subject_003926,,1,1,1,1,1,3,1,1,1,1,1,1
1249,subject_004190,,2,2,2,2,0,0,0,0,0,0,0,0
1250,subject_002508,,2,2,2,2,2,2,3,3,3,3,3,3
1251,subject_004191,,1,1,2,2,2,2,2,2,2,2,2,2
1252,subject_002513,,2,1,2,2,2,0,0,0,0,0,0,0
1253,subject_002518,,1,1,2,2,2,2,2,2,2,2,2,2
1254,subject_002519,,2,2,3,3,2,2,3,3,3,3,3,3
1255,subject_004192,,1,2,1,1,1,1,0,0,0,0,0,0
1256,subject_004193,,1,2,2,2,2,2,2,2,2,2,0,0
1257,subject_003927,,2,1,1,1,2,2,2,1,2,3,2,2
1258,subject_002521,,1,1,2,2,2,2,3,2,3,2,2,2
1259,subject_003928,,3,1,2,2,2,2,2,2,2,2,2,2
1261,subject_003929,,3,2,2,2,2,2,2,2,2,2,2,2
1262,subject_003930,,3,2,2,2,2,2,2,2,2,2,2,2
1263,subject_002526,,1,1,2,2,2,2,2,2,2,2,2,2
1264,subject_004194,,1,1,1,1,1,1,1,1,1,1,1,1
1265,subject_004195,,1,1,2,2,2,2,2,2,2,2,2,2
1266,subject_004196,,1,1,2,2,2,2,2,2,2,2,2,2
1267,subject_004197,,1,1,2,2,2,2,2,2,2,2,0,0
1268,subject_002536,,1,1,1,1,1,1,1,1,1,1,1,1
